Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
8860,RIO PARANA MINI,2,RIO PARANA MINI,2,2 - BUENOS AIRES
8861,RIO SAN ANTONIO,2,RIO SAN ANTONIO,2,2 - BUENOS AIRES
8862,RIO SARMIENTO,2,RIO SARMIENTO,2,2 - BUENOS AIRES
8863,RIO TIGRE,2,RIO TIGRE,2,2 - BUENOS AIRES
8864,ZANJA GUALTIERI,2,ZANJA GUALTIERI,2,2 - BUENOS AIRES
8865,ZANJA TAMAGNI,2,ZANJA TAMAGNI,2,2 - BUENOS AIRES
8866,BARRIO PARA JEFES Y OFICIALES,2,BARRIO PARA JEFES Y OFICIALES,2,2 - BUENOS AIRES
8867,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,2,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,2,2 - BUENOS AIRES
8868,"MIGUELETE ,PARADA FCGM",2,"MIGUELETE ,PARADA FCGM",2,2 - BUENOS AIRES
8869,"SAN MARTIN ,PTDO. GENERAL SAN MARTIN",2,"SAN MARTIN ,PTDO. GENERAL SAN MARTIN",2,2 - BUENOS AIRES
8870,VILLA BERNARDO MONTEAGUDO,2,VILLA BERNARDO MONTEAGUDO,2,2 - BUENOS AIRES
8871,VILLA BILLINGHURST,2,VILLA BILLINGHURST,2,2 - BUENOS AIRES
8872,VILLA BONICH,2,VILLA BONICH,2,2 - BUENOS AIRES
8873,VILLA CHACABUCO,2,VILLA CHACABUCO,2,2 - BUENOS AIRES
